,RELIANCE,HDFC BANK,ICICI BANK,INFOSYS,HDFC,TCS,ITC,KOTAK,L&T,AXIS BANK,UNILEVER,SBI,AIRTEL,BAJAJ FINANCE,ASIAN PAINTS,M&M,HCL,MARUTI SUZUKI,SUN PHARMA,TITAN,BAJAJ FINSERV,TATA STEEL,ULTRATECH,NTPC,INDUSIND BANK,POWER GRID,NESTLE,TECH MAHINDRA,WIPRO,DR REDDY
20,2021-01-12 08:00:00,2021-01-05 08:00:00,2021-01-05 08:00:00,2021-01-22 08:00:00,2021-01-01 08:00:00,2021-01-08 08:00:00,2021-01-11 08:00:00,2021-01-17 08:00:00,2021-01-04 08:00:00,2021-01-20 08:00:00,2021-01-06 08:00:00,2021-01-08 08:00:00,2021-01-04 08:00:00,2021-01-23 08:00:00,2021-01-14 08:00:00,2021-01-27 08:00:00,2021-01-19 08:00:00,2021-01-11 08:00:00,2021-02-23 08:00:00,2021-01-12 10:31:50,2021-02-25 08:00:00,2021-01-11 08:00:00,2021-05-10 07:00:00,2021-01-13 08:00:00,2021-01-31 08:00:00,2021-01-11 08:00:00,2021-01-12 08:00:00,2021-01-29 08:00:00,2021-01-14 08:00:00,2021-01-22 08:00:00
21,2021-01-10 08:00:00,2021-01-01 08:00:00,2021-01-15 08:00:00,2021-01-18 08:00:00,2021-01-07 08:00:00,2020-12-30 08:00:00,2021-01-01 08:00:00,2021-01-14 08:00:00,2021-01-04 08:00:00,2021-01-22 08:00:00,2021-01-11 08:00:00,2021-01-10 08:00:00,2021-01-11 08:00:00,2021-01-19 08:00:00,2021-01-25 08:00:00,2021-01-26 08:00:00,2021-01-19 08:00:00,2021-01-13 08:00:00,2021-02-26 08:00:00,2021-01-06 08:00:00,2021-02-17 08:00:00,2021-01-06 08:00:00,2021-05-07 07:00:00,2021-01-29 08:00:00,2021-02-22 08:00:00,2021-01-11 08:00:00,2021-01-12 08:00:00,2021-02-10 08:00:00,2021-01-15 08:00:00,2021-01-19 08:00:00
22,2020-12-30 08:00:00,2021-01-04 08:00:00,2021-01-20 08:00:00,2021-01-16 08:00:00,2021-01-13 08:00:00,2021-01-04 16:22:49,2020-12-31 08:00:00,2021-02-09 08:00:00,2021-01-11 08:00:00,2021-02-08 08:00:00,2021-01-05 08:00:00,2021-01-13 08:00:00,2021-01-06 08:00:00,2021-01-27 08:00:00,2021-01-27 08:00:00,2021-01-18 08:00:00,2021-01-25 08:00:00,2021-01-03 08:00:00,2021-02-25 08:00:00,2020-12-31 08:00:00,2021-02-23 08:00:00,2021-01-10 08:00:00,2021-05-11 07:00:00,2021-01-15 08:00:00,2021-02-22 08:00:00,2021-01-11 08:00:00,2021-01-04 08:00:00,2021-02-05 08:00:00,2021-01-15 08:00:00,2021-01-28 08:00:00
23,2021-01-06 08:00:00,2021-01-05 08:00:00,2021-01-19 08:00:00,2021-01-15 08:00:00,2021-01-14 08:00:00,2021-01-08 08:00:00,2021-01-12 08:00:00,2021-02-12 08:00:00,2021-01-02 08:00:00,2021-02-01 08:00:00,2021-01-13 08:00:00,2021-01-05 08:00:00,2021-01-11 08:00:00,2021-01-21 08:00:00,2021-01-19 08:00:00,2021-01-20 08:00:00,2021-01-15 08:00:00,2021-01-10 08:00:00,2021-02-24 08:00:00,2021-01-12 08:00:00,2021-02-13 08:00:00,2021-01-11 08:00:00,2021-05-07 07:00:00,2021-01-29 08:00:00,2021-02-18 08:00:00,2021-01-13 08:00:00,2021-01-14 08:00:00,2021-01-29 08:00:00,2021-01-23 08:00:00,2021-01-18 08:00:00
24,2021-01-07 08:00:00,2021-01-13 08:00:00,2021-01-28 08:00:00,2021-01-28 08:00:00,2021-01-01 08:00:00,2021-01-07 08:00:00,2021-01-11 08:00:00,2021-02-13 08:00:00,2021-01-15 08:00:00,2021-02-09 08:00:00,2021-01-08 08:00:00,2021-01-06 08:00:00,2021-01-08 08:00:00,2021-01-19 08:00:00,2021-01-22 08:00:00,2021-01-28 08:00:00,2021-01-25 08:00:00,2021-01-04 08:00:00,2021-03-09 08:00:00,2021-01-13 08:00:00,2021-02-20 08:00:00,2021-01-06 08:00:00,2021-05-07 07:00:00,2021-01-22 08:00:00,2021-02-22 08:00:00,2021-01-11 08:00:00,2021-01-04 08:00:00,2021-01-31 08:00:00,2021-01-14 08:00:00,2021-01-22 08:00:00
25,2021-01-13 08:00:00,2021-01-07 08:00:00,2021-01-20 08:00:00,2021-01-14 08:00:00,2021-01-06 08:00:00,2021-01-03 08:00:00,2021-01-06 08:00:00,2021-02-04 08:00:00,2021-01-26 08:00:00,2021-02-04 08:00:00,2021-01-08 08:00:00,2021-01-07 08:00:00,2021-01-08 08:00:00,2021-01-19 08:00:00,2021-01-20 08:00:00,2021-01-20 08:00:00,2021-01-27 08:00:00,2021-01-13 08:00:00,2021-03-14 08:00:00,2021-01-12 08:00:00,2021-02-18 08:00:00,2021-01-12 08:00:00,2021-05-08 07:00:00,2021-01-14 08:00:00,2021-02-17 08:00:00,2021-01-04 08:00:00,2021-01-04 08:00:00,2021-02-04 08:00:00,2021-01-25 08:00:00,2021-01-27 08:00:00
26,2021-01-06 08:00:00,2021-01-22 08:00:00,2021-01-22 08:00:00,2021-01-14 08:00:00,2021-01-05 08:00:00,2020-12-31 08:00:00,2021-01-13 08:00:00,2021-02-03 08:00:00,2021-01-28 08:00:00,2021-02-12 08:00:00,2021-01-08 08:00:00,2021-01-04 08:00:00,2020-12-31 08:00:00,2021-01-14 08:00:00,2021-02-11 08:00:00,2021-02-10 08:00:00,2021-01-18 08:00:00,2020-12-30 08:00:00,2021-03-09 08:00:00,2021-01-07 08:00:00,2021-02-25 08:00:00,2021-01-12 08:00:00,2021-05-23 07:00:00,2021-01-15 08:00:00,2021-02-16 08:00:00,2021-01-11 08:00:00,2021-01-12 08:00:00,2021-02-02 08:00:00,2021-01-15 08:00:00,2021-01-18 08:00:00
27,2021-01-06 08:00:00,2021-01-18 08:00:00,2021-01-17 08:00:00,2021-01-28 08:00:00,2021-01-25 08:00:00,2021-01-11 08:00:00,2021-01-09 08:00:00,2021-01-29 08:00:00,2021-01-18 08:00:00,2021-02-11 08:00:00,2021-01-11 08:00:00,2021-01-07 08:00:00,2021-01-06 08:00:00,2021-01-18 08:00:00,2021-02-03 08:00:00,2021-02-12 08:00:00,2021-01-19 08:00:00,2021-01-05 08:00:00,2021-03-08 08:00:00,2021-01-01 08:00:00,2021-03-10 08:00:00,2021-01-24 08:00:00,2021-06-02 07:00:00,2021-01-19 08:00:00,2021-02-15 08:00:00,2021-01-14 08:00:00,2021-01-06 08:00:00,2021-02-02 08:00:00,2021-01-19 08:00:00,2021-01-25 08:00:00
28,2021-01-01 08:00:00,2021-01-27 08:00:00,2021-01-21 08:00:00,2021-01-19 08:00:00,2021-01-22 08:00:00,2020-12-31 08:00:00,2021-01-08 08:00:00,2021-02-15 08:00:00,2021-01-20 08:00:00,2021-02-01 08:00:00,2021-01-04 08:00:00,2021-01-12 08:00:00,2021-01-07 08:00:00,2021-01-20 08:00:00,2021-02-11 08:00:00,2021-01-30 08:00:00,2021-02-08 08:00:00,2021-01-09 08:00:00,2021-03-10 08:00:00,2021-01-10 08:00:00,2021-03-09 08:00:00,2021-01-25 08:00:00,2021-06-08 07:00:00,2021-01-25 08:00:00,2021-02-22 08:00:00,2021-01-07 08:00:00,2021-01-09 08:00:00,2021-02-08 08:00:00,2021-01-28 08:00:00,2021-01-20 08:00:00
29,2021-01-09 08:00:00,2021-01-16 08:00:00,2021-01-18 08:00:00,2021-01-14 08:00:00,2021-01-16 08:00:00,2021-01-13 08:00:00,2021-01-14 08:00:00,2021-02-26 08:00:00,2021-01-25 08:00:00,2021-02-11 08:00:00,2021-01-07 08:00:00,2021-01-08 08:00:00,2021-01-11 08:00:00,2021-02-01 08:00:00,2021-02-09 08:00:00,2021-02-03 08:00:00,2021-02-04 08:00:00,2021-01-14 08:00:00,2021-03-10 08:00:00,2021-01-13 08:00:00,2021-03-02 08:00:00,2021-01-15 08:00:00,2021-06-25 07:00:00,2022-11-23 10:17:29,2021-02-18 08:00:00,2021-01-07 08:00:00,2021-01-03 08:00:00,2021-02-03 08:00:00,2021-01-28 08:00:00,2021-01-28 08:00:00
