Date,Open,High,Low,Close
26-Oct-21,60997.9,61497.71,60791.29,61350.26
27-Oct-21,61499.7,61576.85,60989.39,61143.33
28-Oct-21,61081,61081,59777.58,59984.7
29-Oct-21,59857.33,60132.81,59089.37,59306.93
01-Nov-21,59577.48,60220.21,59355.12,60138.46
02-Nov-21,60360.61,60421.14,59881.75,60029.06
03-Nov-21,60275.21,60361.82,59552.49,59771.92
04-Nov-21,60207.97,60207.97,60011.46,60067.62
08-Nov-21,60385.76,60609.16,59779.19,60545.61
09-Nov-21,60609.72,60670.47,60213.64,60433.45
10-Nov-21,60295.26,60506.5,59967.45,60352.82
11-Nov-21,60291.7,60293.25,59656.26,59919.69
12-Nov-21,60248.04,60750.72,59997.96,60686.69
15-Nov-21,60837.4,61036.56,60597.36,60718.71
16-Nov-21,60755.38,60802.79,60199.56,60322.37
17-Nov-21,60179.93,60426.61,59944.77,60008.33
18-Nov-21,59968.75,60177.52,59376.5,59636.01
22-Nov-21,59710.48,59778.37,58011.92,58465.89
23-Nov-21,57983.95,58834.95,57718.34,58664.33
24-Nov-21,58839.32,58968.12,58143.44,58340.99
25-Nov-21,58363.93,58901.58,58143.86,58795.09
26-Nov-21,58254.79,58254.79,56993.89,57107.15
29-Nov-21,57028.04,57626.51,56382.93,57260.58
30-Nov-21,57272.08,58183.77,56867.51,57064.87
01-Dec-21,57365.85,57846.45,57346.78,57684.79
02-Dec-21,57781.48,58513.93,57680.41,58461.29
03-Dec-21,58555.58,58757.09,57640.57,57696.46
06-Dec-21,57778.01,57781.46,56687.62,56747.14
07-Dec-21,57125.98,57905.63,56992.27,57633.65
08-Dec-21,58158.56,58702.65,58122.27,58649.68
09-Dec-21,58831.41,58889.96,58340.85,58807.13
10-Dec-21,58696.71,58859.91,58414.76,58786.67
13-Dec-21,59103.72,59203.37,58242.8,58283.42
14-Dec-21,58059.76,58322.42,57803.87,58117.09
15-Dec-21,58122,58218.25,57671.61,57788.03
16-Dec-21,58243.43,58337.2,57683.11,57901.14
17-Dec-21,58021.63,58062.28,56950.98,57011.74
20-Dec-21,56517.26,56538.15,55132.68,55822.01
21-Dec-21,56320.02,56900.74,56047.22,56319.01
22-Dec-21,56599.47,56989.01,56471.03,56930.56
23-Dec-21,57251.15,57490.52,57146.28,57315.28
24-Dec-21,57567.11,57623.69,56813.42,57124.31
27-Dec-21,56948.33,57512.01,56543.08,57420.24
28-Dec-21,57751.21,57952.48,57650.29,57897.48
29-Dec-21,57892.31,58097.07,57684.58,57806.49
30-Dec-21,57755.4,58010.03,57578.99,57794.32
31-Dec-21,57849.76,58409.3,57846.52,58253.82
